
**************  Bruce Luo(罗科峰)'s sample test [ATP-3[自动登录教学中心]]  ***************
2016-05-16_15_43_44 	NORMAL    	Executing precommand
2016-05-16_15_43_44 	STEP      		Step_1_info->{}
2016-05-16_15_43_44 	STEP      		Step_2_info->{}
2016-05-16_15_43_44 	NORMAL    	Executing steps
2016-05-16_15_43_44 	STEP      		Step_1_info->action_set_for_http("prepareLogin")

**************  Bruce Luo(罗科峰)'s sample test [ATP-3[自动登录教学中心]]  ***************
2016-05-16_15_44_14 	NORMAL    	Executing precommand
2016-05-16_15_44_14 	STEP      		Step_1_info->{}
2016-05-16_15_44_14 	STEP      		Step_2_info->{}
2016-05-16_15_44_14 	NORMAL    	Executing steps
2016-05-16_15_44_14 	STEP      		Step_1_info->action_set_for_http("prepareLogin")

**************  Bruce Luo(罗科峰)'s sample test [ATP-3[自动登录教学中心]]  ***************
2016-05-16_15_44_46 	NORMAL    	Executing precommand
2016-05-16_15_44_46 	STEP      		Step_1_info->{}
2016-05-16_15_44_46 	STEP      		Step_2_info->{}
2016-05-16_15_44_46 	NORMAL    	Executing steps
2016-05-16_15_44_46 	STEP      		Step_1_info->action_set_for_http("prepareLogin")

**************  Bruce Luo(罗科峰)'s sample test [ATP-3[自动登录教学中心]]  ***************
2016-05-16_15_50_18 	NORMAL    	Executing precommand
2016-05-16_15_50_18 	STEP      		Step_1_info->{}
2016-05-16_15_50_18 	STEP      		Step_2_info->{}
2016-05-16_15_50_18 	NORMAL    	Executing steps
2016-05-16_15_50_18 	STEP      		Step_1_info->action_set_for_http("prepareLogin")

**************  Bruce Luo(罗科峰)'s sample test [ATP-3[自动登录教学中心]]  ***************
2016-05-16_15_50_44 	NORMAL    	Executing precommand
2016-05-16_15_50_44 	STEP      		Step_1_info->{}
2016-05-16_15_50_44 	STEP      		Step_2_info->{}
2016-05-16_15_50_44 	NORMAL    	Executing steps
2016-05-16_15_50_44 	STEP      		Step_1_info->action_set_for_http("prepareLogin")

**************  Bruce Luo(罗科峰)'s sample test [ATP-3[自动登录教学中心]]  ***************
2016-05-16_15_50_55 	NORMAL    	Executing precommand
2016-05-16_15_50_55 	STEP      		Step_1_info->{}
2016-05-16_15_50_55 	STEP      		Step_2_info->{}
2016-05-16_15_50_55 	NORMAL    	Executing steps
2016-05-16_15_50_55 	STEP      		Step_1_info->action_set_for_http("prepareLogin")
2016-05-16_15_50_55 	STEP      		Step_2_info->action_get_for_http("http://192.168.102.102:8002/portal/ClientApi/prepareLogin")

**************  Bruce Luo(罗科峰)'s sample test [ATP-3[自动登录教学中心]]  ***************
2016-05-16_15_51_10 	NORMAL    	Executing precommand
2016-05-16_15_51_10 	STEP      		Step_1_info->{}
2016-05-16_15_51_10 	STEP      		Step_2_info->{}
2016-05-16_15_51_10 	NORMAL    	Executing steps
2016-05-16_15_51_10 	STEP      		Step_1_info->action_set_for_http("prepareLogin")
2016-05-16_15_51_10 	STEP      		Step_2_info->action_get_for_http("http://192.168.102.102:8002/portal/ClientApi/prepareLogin")
2016-05-16_15_51_10 	NORMAL    	Executing postcommand
2016-05-16_15_51_10 	STEP      		Step_1_info->action_set_for_http("prepareLogin",user_account=DyData("userAccount"))

**************  Bruce Luo(罗科峰)'s sample test [ATP-3[自动登录教学中心]]  ***************
2016-05-16_15_51_28 	NORMAL    	Executing precommand
2016-05-16_15_51_28 	STEP      		Step_1_info->{}
2016-05-16_15_51_28 	STEP      		Step_2_info->{}
2016-05-16_15_51_28 	NORMAL    	Executing steps
2016-05-16_15_51_28 	STEP      		Step_1_info->action_set_for_http("prepareLogin")
2016-05-16_15_51_28 	STEP      		Step_2_info->action_get_for_http("http://192.168.102.102:8002/portal/ClientApi/prepareLogin")

**************  Bruce Luo(罗科峰)'s sample test [ATP-3[自动登录教学中心]]  ***************
2016-05-16_15_51_34 	NORMAL    	Executing precommand
2016-05-16_15_51_34 	STEP      		Step_1_info->{}
2016-05-16_15_51_34 	STEP      		Step_2_info->{}
2016-05-16_15_51_34 	NORMAL    	Executing steps
2016-05-16_15_51_34 	STEP      		Step_1_info->action_set_for_http("prepareLogin")
2016-05-16_15_51_34 	STEP      		Step_2_info->action_get_for_http("http://192.168.102.102:8002/portal/ClientApi/prepareLogin")
2016-05-16_15_51_34 	NORMAL    	Executing postcommand
2016-05-16_15_51_34 	STEP      		Step_1_info->action_set_for_http("prepareLogin",user_account=DyData("userAccount"))

**************  Bruce Luo(罗科峰)'s sample test [ATP-3[自动登录教学中心]]  ***************
2016-05-16_15_51_39 	NORMAL    	Executing precommand
2016-05-16_15_51_39 	STEP      		Step_1_info->{}
