
**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-21_10_22_22 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-21_10_22_22 	PASS      		Step pass.
2016-09-21_10_22_22 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-21_10_22_22 	PASS      		Step pass.
2016-09-21_10_22_22 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-21_10_22_23 	PASS      		Step pass.
2016-09-21_10_22_23 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-21_10_22_23 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-21_10_22_23 	NORMAL    	Executing postcommand
2016-09-21_10_22_23 	NORMAL    	Executing verify
2016-09-21_10_22_23 	NORMAL    		实际测试结果：[]
2016-09-21_10_22_23 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-21_10_22_31 	NORMAL    	Executing precommand
2016-09-21_10_22_31 	NORMAL    	Executing steps
2016-09-21_10_22_31 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-21_10_22_31 	PASS      		Step pass.
2016-09-21_10_22_31 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-21_10_22_42 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-21_10_22_42 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-21_10_22_42 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-21_10_22_42 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-21_10_22_42 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-21_10_22_42 	NORMAL    	Executing postcommand
2016-09-21_10_22_42 	NORMAL    	Executing verify
2016-09-21_10_22_42 	NORMAL    		实际测试结果：[]
2016-09-21_10_22_42 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-21_10_31_44 	NORMAL    	Executing precommand
2016-09-21_10_31_44 	NORMAL    	Executing steps
2016-09-21_10_31_44 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-21_10_31_44 	PASS      		Step pass.
2016-09-21_10_31_44 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-21_10_31_45 	PASS      		Step pass.
2016-09-21_10_31_45 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-21_10_31_45 	PASS      		Step pass.
2016-09-21_10_31_45 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-21_10_31_45 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-21_10_31_45 	NORMAL    	Executing postcommand
2016-09-21_10_31_45 	NORMAL    	Executing verify
2016-09-21_10_31_45 	NORMAL    		实际测试结果：[]
2016-09-21_10_31_45 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-21_10_32_20 	NORMAL    	Executing precommand
2016-09-21_10_32_20 	NORMAL    	Executing steps
2016-09-21_10_32_20 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-21_10_32_20 	ERROR     	Message: Element is not clickable at point (528, 294). Other element would receive the click: <button tabindex="0" class="x-btn-text " type="button" style="position: relative; width: 69px;"></button>

2016-09-21_10_32_20 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-21_10_32_20 	PASS      		Step pass.
2016-09-21_10_32_20 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-21_10_32_20 	PASS      		Step pass.
2016-09-21_10_32_20 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-21_10_32_20 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-21_10_32_20 	NORMAL    	Executing postcommand
2016-09-21_10_32_20 	NORMAL    	Executing verify
2016-09-21_10_32_20 	NORMAL    		实际测试结果：[]
2016-09-21_10_32_20 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-21_10_32_29 	NORMAL    	Executing precommand
2016-09-21_10_32_29 	NORMAL    	Executing steps
2016-09-21_10_32_29 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-21_10_32_29 	PASS      		Step pass.
2016-09-21_10_32_29 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-21_10_32_39 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-21_10_32_39 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-21_10_32_39 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-21_10_32_39 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-21_10_32_39 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-21_10_32_39 	NORMAL    	Executing postcommand
2016-09-21_10_32_39 	NORMAL    	Executing verify
2016-09-21_10_32_39 	NORMAL    		实际测试结果：[]
2016-09-21_10_32_39 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-21_10_34_37 	NORMAL    	Executing precommand
2016-09-21_10_34_37 	NORMAL    	Executing steps
2016-09-21_10_34_37 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-21_10_34_37 	PASS      		Step pass.
2016-09-21_10_34_37 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-21_10_34_37 	PASS      		Step pass.
2016-09-21_10_34_37 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-21_10_34_37 	PASS      		Step pass.
2016-09-21_10_34_37 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-21_10_34_37 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-21_10_34_37 	NORMAL    	Executing postcommand
2016-09-21_10_34_37 	NORMAL    	Executing verify
2016-09-21_10_34_37 	NORMAL    		实际测试结果：[]
2016-09-21_10_34_37 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-21_10_35_18 	NORMAL    	Executing precommand
2016-09-21_10_35_18 	NORMAL    	Executing steps
2016-09-21_10_35_18 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-21_10_35_18 	PASS      		Step pass.
2016-09-21_10_35_18 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-21_10_35_29 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-21_10_35_29 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-21_10_35_29 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-21_10_35_29 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-21_10_35_29 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-21_10_35_29 	NORMAL    	Executing postcommand
2016-09-21_10_35_29 	NORMAL    	Executing verify
2016-09-21_10_35_29 	NORMAL    		实际测试结果：[]
2016-09-21_10_35_29 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-21_10_36_01 	NORMAL    	Executing precommand
2016-09-21_10_36_01 	NORMAL    	Executing steps
2016-09-21_10_36_01 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-21_10_36_01 	PASS      		Step pass.
2016-09-21_10_36_01 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-21_10_36_01 	PASS      		Step pass.
2016-09-21_10_36_01 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-21_10_36_01 	PASS      		Step pass.
2016-09-21_10_36_01 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click() 
2016-09-21_10_36_01 	PASS      		Step pass.
2016-09-21_10_36_01 	NORMAL    	Executing postcommand
2016-09-21_10_36_01 	NORMAL    	Executing verify
2016-09-21_10_36_01 	NORMAL    		实际测试结果：[]
2016-09-21_10_36_01 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-21_10_36_15 	NORMAL    	Executing precommand
2016-09-21_10_36_15 	NORMAL    	Executing steps
2016-09-21_10_36_15 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-21_10_36_15 	PASS      		Step pass.
2016-09-21_10_36_15 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-21_10_36_25 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-21_10_36_25 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-21_10_36_25 	PASS      		Step pass.
2016-09-21_10_36_25 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-21_10_36_25 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-21_10_36_25 	NORMAL    	Executing postcommand
2016-09-21_10_36_25 	NORMAL    	Executing verify
2016-09-21_10_36_25 	NORMAL    		实际测试结果：[]
2016-09-21_10_36_25 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-21_10_36_28 	NORMAL    	Executing precommand
2016-09-21_10_36_28 	NORMAL    	Executing steps
2016-09-21_10_36_28 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-21_10_36_28 	PASS      		Step pass.
2016-09-21_10_36_28 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-21_10_36_29 	PASS      		Step pass.
2016-09-21_10_36_29 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-21_10_36_29 	PASS      		Step pass.
2016-09-21_10_36_29 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-21_10_36_29 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-21_10_36_29 	NORMAL    	Executing postcommand
2016-09-21_10_36_29 	NORMAL    	Executing verify
2016-09-21_10_36_29 	NORMAL    		实际测试结果：[]
2016-09-21_10_36_29 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-21_10_36_45 	NORMAL    	Executing precommand
2016-09-21_10_36_45 	NORMAL    	Executing steps
2016-09-21_10_36_45 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-21_10_36_45 	PASS      		Step pass.
2016-09-21_10_36_45 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-21_10_36_55 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-21_10_36_55 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-21_10_36_56 	PASS      		Step pass.
2016-09-21_10_36_56 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click() 
2016-09-21_10_36_56 	PASS      		Step pass.
2016-09-21_10_36_56 	NORMAL    	Executing postcommand
2016-09-21_10_36_56 	NORMAL    	Executing verify
2016-09-21_10_36_56 	NORMAL    		实际测试结果：[]
2016-09-21_10_36_56 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-21_10_38_55 	NORMAL    	Executing precommand
2016-09-21_10_38_55 	NORMAL    	Executing steps
2016-09-21_10_38_55 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-21_10_38_55 	PASS      		Step pass.
2016-09-21_10_38_55 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-21_10_39_06 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-21_10_39_06 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-21_10_39_06 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-21_10_39_06 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-21_10_39_06 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-21_10_39_06 	NORMAL    	Executing postcommand
2016-09-21_10_39_06 	NORMAL    	Executing verify
2016-09-21_10_39_06 	NORMAL    		实际测试结果：[]
2016-09-21_10_39_06 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-21_10_39_31 	NORMAL    	Executing precommand
2016-09-21_10_39_31 	NORMAL    	Executing steps
2016-09-21_10_39_31 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-21_10_39_31 	PASS      		Step pass.
2016-09-21_10_39_31 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-21_10_39_32 	PASS      		Step pass.
2016-09-21_10_39_32 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-21_10_39_32 	PASS      		Step pass.
2016-09-21_10_39_32 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click() 
2016-09-21_10_39_32 	PASS      		Step pass.
2016-09-21_10_39_32 	NORMAL    	Executing postcommand
2016-09-21_10_39_32 	NORMAL    	Executing verify
2016-09-21_10_39_32 	NORMAL    		实际测试结果：[]
2016-09-21_10_39_32 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-21_15_25_27 	NORMAL    	Executing precommand
2016-09-21_15_25_27 	NORMAL    	Executing steps
2016-09-21_15_25_27 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-21_15_25_27 	PASS      		Step pass.
2016-09-21_15_25_27 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-21_15_25_27 	PASS      		Step pass.
2016-09-21_15_25_28 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-21_15_25_28 	PASS      		Step pass.
2016-09-21_15_25_28 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-21_15_25_28 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-21_15_25_28 	NORMAL    	Executing postcommand
2016-09-21_15_25_28 	NORMAL    	Executing verify
2016-09-21_15_25_28 	NORMAL    		实际测试结果：[]
2016-09-21_15_25_28 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-21_15_25_32 	NORMAL    	Executing precommand
2016-09-21_15_25_32 	NORMAL    	Executing steps
2016-09-21_15_25_32 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-21_15_25_32 	ERROR     	Message: Element is not clickable at point (528, 295). Other element would receive the click: <button tabindex="0" class="x-btn-text " type="button" style="position: relative; width: 69px;"></button>

2016-09-21_15_25_32 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-21_15_25_32 	PASS      		Step pass.
2016-09-21_15_25_32 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-21_15_25_32 	PASS      		Step pass.
2016-09-21_15_25_32 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-21_15_25_32 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-21_15_25_32 	NORMAL    	Executing postcommand
2016-09-21_15_25_32 	NORMAL    	Executing verify
2016-09-21_15_25_32 	NORMAL    		实际测试结果：[]
2016-09-21_15_25_32 	PASS      		Verify complete.[前置操作]
