
**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-21_09_26_56 	NORMAL    	Executing precommand
2016-09-21_09_26_56 	NORMAL    	Executing steps
2016-09-21_09_26_56 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-21_09_26_56 	PASS      		Step pass.
2016-09-21_09_26_56 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-21_09_27_07 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-21_09_27_07 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-21_09_27_07 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-21_09_27_07 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-21_09_27_07 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-21_09_27_07 	NORMAL    	Executing postcommand
2016-09-21_09_27_07 	NORMAL    	Executing verify
2016-09-21_09_27_07 	NORMAL    		实际测试结果：[]
2016-09-21_09_27_07 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-21_09_30_27 	NORMAL    	Executing precommand
2016-09-21_09_30_27 	NORMAL    	Executing steps
2016-09-21_09_30_27 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-21_09_30_27 	PASS      		Step pass.
2016-09-21_09_30_27 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-21_09_30_38 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-21_09_30_38 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-21_09_30_38 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-21_09_30_38 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-21_09_30_38 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-21_09_30_38 	NORMAL    	Executing postcommand
2016-09-21_09_30_38 	NORMAL    	Executing verify
2016-09-21_09_30_38 	NORMAL    		实际测试结果：[]
2016-09-21_09_30_38 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-21_09_30_48 	NORMAL    	Executing precommand
2016-09-21_09_30_48 	NORMAL    	Executing steps
2016-09-21_09_30_48 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-21_09_30_48 	PASS      		Step pass.
2016-09-21_09_30_48 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-21_09_30_48 	PASS      		Step pass.
2016-09-21_09_30_48 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-21_09_30_48 	PASS      		Step pass.
2016-09-21_09_30_48 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-21_09_30_48 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-21_09_30_48 	NORMAL    	Executing postcommand
2016-09-21_09_30_48 	NORMAL    	Executing verify
2016-09-21_09_30_48 	NORMAL    		实际测试结果：[]
2016-09-21_09_30_48 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-21_10_22_22 	NORMAL    	Executing precommand
2016-09-21_10_22_22 	NORMAL    	Executing steps
