
**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-20_10_00_42 	NORMAL    	Executing precommand
2016-09-20_10_00_42 	NORMAL    	Executing steps
2016-09-20_10_00_42 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-20_10_00_42 	PASS      		Step pass.
2016-09-20_10_00_42 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-20_10_00_43 	PASS      		Step pass.
2016-09-20_10_00_43 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-20_10_00_43 	PASS      		Step pass.
2016-09-20_10_00_43 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-20_10_00_43 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-20_10_00_43 	NORMAL    	Executing postcommand
2016-09-20_10_00_43 	NORMAL    	Executing verify
2016-09-20_10_00_43 	NORMAL    		实际测试结果：[]
2016-09-20_10_00_43 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-20_10_02_04 	NORMAL    	Executing precommand
2016-09-20_10_02_04 	NORMAL    	Executing steps
2016-09-20_10_02_04 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-20_10_02_04 	PASS      		Step pass.
2016-09-20_10_02_04 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-20_10_02_14 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-20_10_02_14 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-20_10_02_14 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-20_10_02_14 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-20_10_02_14 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-20_10_02_14 	NORMAL    	Executing postcommand
2016-09-20_10_02_14 	NORMAL    	Executing verify
2016-09-20_10_02_14 	NORMAL    		实际测试结果：[]
2016-09-20_10_02_14 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-20_10_03_58 	NORMAL    	Executing precommand
2016-09-20_10_03_58 	NORMAL    	Executing steps
2016-09-20_10_03_58 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-20_10_03_58 	PASS      		Step pass.
2016-09-20_10_03_58 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-20_10_03_58 	PASS      		Step pass.
2016-09-20_10_03_58 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-20_10_03_58 	PASS      		Step pass.
2016-09-20_10_03_58 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-20_10_03_58 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-20_10_03_58 	NORMAL    	Executing postcommand
2016-09-20_10_03_58 	NORMAL    	Executing verify
2016-09-20_10_03_58 	NORMAL    		实际测试结果：[]
2016-09-20_10_03_58 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-20_10_08_48 	NORMAL    	Executing precommand
2016-09-20_10_08_48 	NORMAL    	Executing steps
2016-09-20_10_08_48 	STEP      		Step_1_info->LoginWeb.LoginStartButton.Click()
2016-09-20_10_08_48 	PASS      		Step pass.
2016-09-20_10_08_49 	STEP      		Step_2_info->LoginWeb.LoginErrorTipText.GetText()
2016-09-20_10_08_49 	PASS      		Step pass.
2016-09-20_10_08_49 	STEP      		Step_3_info->LoginWeb.LoginErrorTipBtn.GetText()
2016-09-20_10_08_49 	PASS      		Step pass.
2016-09-20_10_08_49 	STEP      		Step_4_info->LoginWeb.LoginErrorTipBtn.Click1() 
2016-09-20_10_08_49 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-20_10_08_49 	NORMAL    	Executing postcommand
2016-09-20_10_08_49 	NORMAL    	Executing verify
