
**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-12_10_53_35 	NORMAL    	Executing precommand
2016-09-12_10_53_35 	NORMAL    	Executing steps
2016-09-12_10_53_35 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-12_10_53_35 	PASS      		Step pass.
2016-09-12_10_53_35 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-12_10_53_45 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-12_10_53_45 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-12_10_53_45 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-12_10_53_45 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click() 
2016-09-12_10_53_45 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-12_10_53_45 	NORMAL    	Executing postcommand
2016-09-12_10_53_45 	NORMAL    	Executing verify
2016-09-12_10_53_45 	NORMAL    		实际测试结果：[]
2016-09-12_10_53_45 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-12_11_00_24 	NORMAL    	Executing precommand
2016-09-12_11_00_24 	NORMAL    	Executing steps
2016-09-12_11_00_24 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-12_11_00_24 	PASS      		Step pass.
2016-09-12_11_00_24 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-12_11_00_35 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-12_11_00_35 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-12_11_00_35 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-12_11_00_35 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click() 
2016-09-12_11_00_35 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-12_11_00_35 	NORMAL    	Executing postcommand
2016-09-12_11_00_35 	NORMAL    	Executing verify
2016-09-12_11_00_35 	NORMAL    		实际测试结果：[]
2016-09-12_11_00_35 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-12_11_41_28 	NORMAL    	Executing precommand
2016-09-12_11_41_28 	NORMAL    	Executing steps
2016-09-12_11_41_28 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-12_11_41_28 	PASS      		Step pass.
2016-09-12_11_41_28 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-12_11_41_38 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-12_11_41_38 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-12_11_41_38 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-12_11_41_38 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click() 
2016-09-12_11_41_38 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-12_11_41_38 	NORMAL    	Executing postcommand
2016-09-12_11_41_38 	NORMAL    	Executing verify
2016-09-12_11_41_38 	NORMAL    		实际测试结果：[]
2016-09-12_11_41_38 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-12_11_42_27 	NORMAL    	Executing precommand
2016-09-12_11_42_27 	NORMAL    	Executing steps
2016-09-12_11_42_27 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-12_11_42_27 	PASS      		Step pass.
2016-09-12_11_42_27 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-12_11_42_37 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-12_11_42_37 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-12_11_42_37 	PASS      		Step pass.
2016-09-12_11_42_37 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click() 
2016-09-12_11_42_37 	PASS      		Step pass.
2016-09-12_11_42_37 	NORMAL    	Executing postcommand
2016-09-12_11_42_37 	NORMAL    	Executing verify
2016-09-12_11_42_37 	NORMAL    		实际测试结果：[]
2016-09-12_11_42_37 	PASS      		Verify complete.[前置操作]
