
**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-12_10_05_31 	NORMAL    	Executing precommand
2016-09-12_10_05_31 	NORMAL    	Executing steps
2016-09-12_10_05_31 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-12_10_05_31 	ERROR     	Message: Element is not clickable at point (528, 294). Other element would receive the click: <div id="loading"></div>

2016-09-12_10_05_31 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-12_10_05_41 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-12_10_05_41 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-12_10_05_41 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-12_10_05_41 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click() 
2016-09-12_10_05_41 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-12_10_05_41 	NORMAL    	Executing postcommand
2016-09-12_10_05_41 	NORMAL    	Executing verify
2016-09-12_10_05_41 	NORMAL    		实际测试结果：[]
2016-09-12_10_05_41 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-12_10_06_21 	NORMAL    	Executing precommand
2016-09-12_10_06_21 	NORMAL    	Executing steps
2016-09-12_10_06_21 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-12_10_06_21 	PASS      		Step pass.
2016-09-12_10_06_21 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-12_10_06_22 	PASS      		Step pass.
2016-09-12_10_06_22 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-12_10_06_22 	PASS      		Step pass.
2016-09-12_10_06_22 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click() 
2016-09-12_10_06_22 	PASS      		Step pass.
2016-09-12_10_06_22 	NORMAL    	Executing postcommand
2016-09-12_10_06_22 	NORMAL    	Executing verify
2016-09-12_10_06_22 	NORMAL    		实际测试结果：[]
2016-09-12_10_06_22 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-12_10_31_36 	NORMAL    	Executing precommand
2016-09-12_10_31_37 	NORMAL    	Executing steps
2016-09-12_10_31_37 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-12_10_31_37 	ERROR     	Timeout at 10 seconds.Element(xpath) not found.
2016-09-12_10_31_37 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-12_10_31_37 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-12_10_31_37 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-12_10_31_37 	ERROR     	Timeout at 10 seconds.Element(css selector) not found.
2016-09-12_10_31_37 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click() 
2016-09-12_10_31_37 	ERROR     	Timeout at 10 seconds.Element(css selector) not found.
2016-09-12_10_31_37 	NORMAL    	Executing postcommand
2016-09-12_10_31_37 	NORMAL    	Executing verify
2016-09-12_10_31_37 	NORMAL    		实际测试结果：[]
2016-09-12_10_31_37 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-12_10_44_18 	NORMAL    	Executing precommand
2016-09-12_10_44_18 	NORMAL    	Executing steps
2016-09-12_10_44_18 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-12_10_44_18 	PASS      		Step pass.
2016-09-12_10_44_18 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-12_10_44_28 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-12_10_44_28 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-12_10_44_28 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-12_10_44_28 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click() 
2016-09-12_10_44_28 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-12_10_44_28 	NORMAL    	Executing postcommand
2016-09-12_10_44_28 	NORMAL    	Executing verify
2016-09-12_10_44_28 	NORMAL    		实际测试结果：[]
2016-09-12_10_44_28 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
