
**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-13_16_22_00 	NORMAL    	Executing postcommand
2016-09-13_16_22_00 	NORMAL    	Executing verify
2016-09-13_16_22_00 	NORMAL    		实际测试结果：[]
2016-09-13_16_22_00 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-13_16_25_15 	NORMAL    	Executing precommand
2016-09-13_16_25_15 	NORMAL    	Executing steps
2016-09-13_16_25_15 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-13_16_25_15 	ERROR     	Message: Element is not clickable at point (528, 295). Other element would receive the click: <div id="loading"></div>

2016-09-13_16_25_15 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-13_16_25_25 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-13_16_25_25 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-13_16_25_25 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-13_16_25_25 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click() 
2016-09-13_16_25_25 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-13_16_25_25 	NORMAL    	Executing postcommand
2016-09-13_16_25_25 	NORMAL    	Executing verify
2016-09-13_16_25_25 	NORMAL    		实际测试结果：[]
2016-09-13_16_25_25 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-13_16_26_32 	NORMAL    	Executing precommand
2016-09-13_16_26_32 	NORMAL    	Executing steps
2016-09-13_16_26_32 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-13_16_26_32 	PASS      		Step pass.
2016-09-13_16_26_32 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-13_16_26_43 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-13_16_26_43 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-13_16_26_43 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-13_16_26_43 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click() 
2016-09-13_16_26_43 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-13_16_26_43 	NORMAL    	Executing postcommand
2016-09-13_16_26_43 	NORMAL    	Executing verify
2016-09-13_16_26_43 	NORMAL    		实际测试结果：[]
2016-09-13_16_26_43 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-13_19_45_04 	NORMAL    	Executing precommand
2016-09-13_19_45_04 	NORMAL    	Executing steps
2016-09-13_19_45_04 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-13_19_45_04 	PASS      		Step pass.
2016-09-13_19_45_04 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-13_19_45_15 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-13_19_45_15 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-13_19_45_15 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-13_19_45_15 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click() 
2016-09-13_19_45_15 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-13_19_45_15 	NORMAL    	Executing postcommand
2016-09-13_19_45_15 	NORMAL    	Executing verify
2016-09-13_19_45_15 	NORMAL    		实际测试结果：[]
2016-09-13_19_45_15 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-13_20_07_15 	NORMAL    	Executing precommand
2016-09-13_20_07_15 	NORMAL    	Executing steps
2016-09-13_20_07_15 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-13_20_07_15 	PASS      		Step pass.
2016-09-13_20_07_15 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-13_20_07_15 	PASS      		Step pass.
2016-09-13_20_07_15 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-13_20_07_15 	PASS      		Step pass.
2016-09-13_20_07_15 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click() 
2016-09-13_20_07_15 	PASS      		Step pass.
2016-09-13_20_07_15 	NORMAL    	Executing postcommand
2016-09-13_20_07_15 	NORMAL    	Executing verify
2016-09-13_20_07_16 	NORMAL    		实际测试结果：[]
2016-09-13_20_07_16 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-13_20_07_56 	NORMAL    	Executing precommand
2016-09-13_20_07_56 	NORMAL    	Executing steps
2016-09-13_20_07_56 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-13_20_07_56 	PASS      		Step pass.
2016-09-13_20_07_56 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-13_20_07_56 	PASS      		Step pass.
2016-09-13_20_07_56 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-13_20_07_56 	PASS      		Step pass.
2016-09-13_20_07_56 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click() 
2016-09-13_20_07_56 	PASS      		Step pass.
2016-09-13_20_07_56 	NORMAL    	Executing postcommand
2016-09-13_20_07_56 	NORMAL    	Executing verify
2016-09-13_20_07_56 	NORMAL    		实际测试结果：[]
2016-09-13_20_07_56 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-13_20_08_08 	NORMAL    	Executing precommand
2016-09-13_20_08_08 	NORMAL    	Executing steps
2016-09-13_20_08_08 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-13_20_08_08 	PASS      		Step pass.
2016-09-13_20_08_08 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-13_20_08_18 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-13_20_08_18 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-13_20_08_18 	PASS      		Step pass.
2016-09-13_20_08_18 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click() 
2016-09-13_20_08_18 	PASS      		Step pass.
2016-09-13_20_08_18 	NORMAL    	Executing postcommand
2016-09-13_20_08_18 	NORMAL    	Executing verify
2016-09-13_20_08_18 	NORMAL    		实际测试结果：[]
2016-09-13_20_08_18 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-13_20_08_56 	NORMAL    	Executing precommand
2016-09-13_20_08_56 	NORMAL    	Executing steps
2016-09-13_20_08_56 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-13_20_08_56 	PASS      		Step pass.
2016-09-13_20_08_56 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-13_20_09_06 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-13_20_09_06 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-13_20_09_06 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-13_20_09_06 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click() 
2016-09-13_20_09_06 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-13_20_09_06 	NORMAL    	Executing postcommand
2016-09-13_20_09_06 	NORMAL    	Executing verify
2016-09-13_20_09_06 	NORMAL    		实际测试结果：[]
2016-09-13_20_09_06 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-13_20_10_46 	NORMAL    	Executing precommand
2016-09-13_20_10_46 	NORMAL    	Executing steps
2016-09-13_20_10_46 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-13_20_10_46 	PASS      		Step pass.
2016-09-13_20_10_47 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-13_20_10_47 	PASS      		Step pass.
2016-09-13_20_10_47 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-13_20_10_47 	PASS      		Step pass.
2016-09-13_20_10_47 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click() 
2016-09-13_20_10_47 	PASS      		Step pass.
2016-09-13_20_10_47 	NORMAL    	Executing postcommand
2016-09-13_20_10_47 	NORMAL    	Executing verify
2016-09-13_20_10_47 	NORMAL    		实际测试结果：[]
2016-09-13_20_10_47 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-13_20_35_54 	NORMAL    	Executing precommand
2016-09-13_20_35_54 	NORMAL    	Executing steps
2016-09-13_20_35_54 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-13_20_35_54 	PASS      		Step pass.
2016-09-13_20_35_54 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-13_20_36_05 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-13_20_36_05 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-13_20_36_05 	PASS      		Step pass.
2016-09-13_20_36_05 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click() 
2016-09-13_20_36_05 	PASS      		Step pass.
2016-09-13_20_36_05 	NORMAL    	Executing postcommand
2016-09-13_20_36_05 	NORMAL    	Executing verify
2016-09-13_20_36_05 	NORMAL    		实际测试结果：[]
2016-09-13_20_36_05 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-13_20_37_32 	NORMAL    	Executing precommand
2016-09-13_20_37_32 	NORMAL    	Executing steps
2016-09-13_20_37_32 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-13_20_37_32 	PASS      		Step pass.
2016-09-13_20_37_32 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-13_20_37_43 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-13_20_37_43 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-13_20_37_43 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-13_20_37_43 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click() 
2016-09-13_20_37_43 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-13_20_37_43 	NORMAL    	Executing postcommand
2016-09-13_20_37_43 	NORMAL    	Executing verify
2016-09-13_20_37_43 	NORMAL    		实际测试结果：[]
2016-09-13_20_37_43 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-13_20_39_20 	NORMAL    	Executing precommand
2016-09-13_20_39_20 	NORMAL    	Executing steps
2016-09-13_20_39_20 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-13_20_39_20 	PASS      		Step pass.
2016-09-13_20_39_21 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-13_20_39_21 	PASS      		Step pass.
2016-09-13_20_39_21 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-13_20_39_21 	PASS      		Step pass.
