
**************  Bruce Luo(罗科峰)'s sample test [6[]]  ***************
2016-09-18_13_44_59 	NORMAL    	Executing precommand
2016-09-18_13_44_59 	NORMAL    	Executing steps
2016-09-18_13_44_59 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-18_13_44_59 	PASS      		Step pass.
2016-09-18_13_44_59 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-18_13_44_59 	PASS      		Step pass.
2016-09-18_13_44_59 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-18_13_44_59 	PASS      		Step pass.
2016-09-18_13_44_59 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click() 
2016-09-18_13_44_59 	PASS      		Step pass.
2016-09-18_13_44_59 	NORMAL    	Executing postcommand
2016-09-18_13_44_59 	NORMAL    	Executing verify
2016-09-18_13_44_59 	NORMAL    		实际测试结果：[]
2016-09-18_13_44_59 	PASS      		Verify complete.[前置操作]
