
**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-18_09_44_55 	NORMAL    	Executing precommand
2016-09-18_09_44_55 	NORMAL    	Executing steps
2016-09-18_09_44_55 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-18_09_44_55 	PASS      		Step pass.
2016-09-18_09_44_55 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-18_09_44_55 	PASS      		Step pass.
2016-09-18_09_44_55 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-18_09_44_55 	PASS      		Step pass.
2016-09-18_09_44_55 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click1() 
2016-09-18_09_44_55 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-18_09_44_55 	NORMAL    	Executing postcommand
2016-09-18_09_44_55 	NORMAL    	Executing verify
2016-09-18_09_44_55 	NORMAL    		实际测试结果：[]
2016-09-18_09_44_55 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-18_11_59_11 	NORMAL    	Executing precommand
2016-09-18_11_59_11 	NORMAL    	Executing steps
2016-09-18_11_59_11 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-18_11_59_12 	PASS      		Step pass.
2016-09-18_11_59_12 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-18_11_59_12 	PASS      		Step pass.
2016-09-18_11_59_12 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-18_11_59_12 	PASS      		Step pass.
2016-09-18_11_59_12 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click1() 
2016-09-18_11_59_12 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-18_11_59_12 	NORMAL    	Executing postcommand
2016-09-18_11_59_12 	NORMAL    	Executing verify
2016-09-18_11_59_12 	NORMAL    		实际测试结果：[]
2016-09-18_11_59_12 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-18_13_45_03 	NORMAL    	Executing precommand
2016-09-18_13_45_03 	NORMAL    	Executing steps
2016-09-18_13_45_03 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-18_13_45_03 	PASS      		Step pass.
2016-09-18_13_45_03 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-18_13_45_04 	PASS      		Step pass.
2016-09-18_13_45_04 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-18_13_45_04 	PASS      		Step pass.
2016-09-18_13_45_04 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click1() 
2016-09-18_13_45_04 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-18_13_45_04 	NORMAL    	Executing postcommand
2016-09-18_13_45_04 	NORMAL    	Executing verify
2016-09-18_13_45_04 	NORMAL    		实际测试结果：[]
2016-09-18_13_45_04 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-18_13_46_57 	NORMAL    	Executing precommand
2016-09-18_13_46_57 	NORMAL    	Executing steps
2016-09-18_13_46_57 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-18_13_46_58 	PASS      		Step pass.
2016-09-18_13_46_58 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-18_13_46_58 	PASS      		Step pass.
2016-09-18_13_46_58 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-18_13_46_58 	PASS      		Step pass.
2016-09-18_13_46_58 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click1() 
2016-09-18_13_46_58 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-18_13_46_58 	NORMAL    	Executing postcommand
2016-09-18_13_46_58 	NORMAL    	Executing verify
2016-09-18_13_46_58 	NORMAL    		实际测试结果：[]
2016-09-18_13_46_58 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-18_14_23_19 	NORMAL    	Executing precommand
2016-09-18_14_23_19 	NORMAL    	Executing steps
2016-09-18_14_23_19 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-18_14_23_19 	PASS      		Step pass.
2016-09-18_14_23_19 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-18_14_23_19 	PASS      		Step pass.
2016-09-18_14_23_19 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-18_14_23_19 	PASS      		Step pass.
2016-09-18_14_23_19 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click1() 
2016-09-18_14_23_19 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-18_14_23_19 	NORMAL    	Executing postcommand
2016-09-18_14_23_19 	NORMAL    	Executing verify
2016-09-18_14_23_19 	NORMAL    		实际测试结果：[]
2016-09-18_14_23_19 	PASS      		Verify complete.[前置操作]
