
**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-14_10_02_16 	NORMAL    	Executing precommand
2016-09-14_10_02_16 	NORMAL    	Executing steps
2016-09-14_10_02_16 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-14_10_02_16 	ERROR     	Message: Element is not clickable at point (528, 295). Other element would receive the click: <div id="loading"></div>

2016-09-14_10_02_16 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-14_10_02_26 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-14_10_02_26 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-14_10_02_26 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-14_10_02_26 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click1() 
2016-09-14_10_02_26 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-14_10_02_26 	NORMAL    	Executing postcommand
2016-09-14_10_02_26 	NORMAL    	Executing verify
2016-09-14_10_02_26 	NORMAL    		实际测试结果：[]
2016-09-14_10_02_26 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-14_10_03_32 	NORMAL    	Executing precommand
2016-09-14_10_03_32 	NORMAL    	Executing steps
2016-09-14_10_03_32 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-14_10_03_33 	PASS      		Step pass.
2016-09-14_10_03_33 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-14_10_04_32 	NORMAL    	Executing precommand
2016-09-14_10_04_32 	NORMAL    	Executing steps
2016-09-14_10_04_32 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-14_10_04_32 	PASS      		Step pass.
2016-09-14_10_04_32 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-14_10_04_34 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-14_10_04_34 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-14_10_04_35 	ERROR     	Timeout at 10 seconds.Element(css selector) not found.
2016-09-14_10_04_35 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click1() 
2016-09-14_10_04_35 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-14_10_04_35 	NORMAL    	Executing postcommand
2016-09-14_10_04_35 	NORMAL    	Executing verify
2016-09-14_10_04_35 	NORMAL    		实际测试结果：[]
2016-09-14_10_04_35 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-14_10_04_39 	NORMAL    	Executing precommand
2016-09-14_10_04_39 	NORMAL    	Executing steps
2016-09-14_10_04_39 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-14_10_04_39 	PASS      		Step pass.
2016-09-14_10_04_39 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-14_10_04_49 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-14_10_04_49 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-14_10_04_50 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-14_10_04_50 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click1() 
2016-09-14_10_04_50 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-14_10_04_50 	NORMAL    	Executing postcommand
2016-09-14_10_04_50 	NORMAL    	Executing verify
2016-09-14_10_04_50 	NORMAL    		实际测试结果：[]
2016-09-14_10_04_50 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-14_10_05_29 	NORMAL    	Executing precommand
2016-09-14_10_05_29 	NORMAL    	Executing steps
2016-09-14_10_05_29 	STEP      		Step_1_info->Login.LoginStartButton.Click()
2016-09-14_10_05_29 	PASS      		Step pass.
2016-09-14_10_05_29 	STEP      		Step_2_info->Login.LoginErrorTipText.GetText()
2016-09-14_10_05_39 	ERROR     	Timeout at 10 seconds.Element(id) not found.
2016-09-14_10_05_39 	STEP      		Step_3_info->Login.LoginErrorTipBtn.GetText()
2016-09-14_10_05_39 	ERROR     	Element [LoginErrorTipBtn]: Element Index Issue! There are [2] Elements! Index=[2]
2016-09-14_10_05_39 	STEP      		Step_4_info->Login.LoginErrorTipBtn.Click1() 
2016-09-14_10_05_39 	ERROR     	class LoginErrorTipBtn has no attribute 'Click1'
2016-09-14_10_05_39 	NORMAL    	Executing postcommand
2016-09-14_10_05_39 	NORMAL    	Executing verify
2016-09-14_10_05_39 	NORMAL    		实际测试结果：[]
2016-09-14_10_05_39 	PASS      		Verify complete.[前置操作]

**************  Bruce Luo(罗科峰)'s sample test [3[]]  ***************
2016-09-14_10_06_25 	NORMAL    	Executing precommand
2016-09-14_10_06_25 	NORMAL    	Executing steps
2016-09-14_10_06_25 	STEP      		Step_1_info->Login.LoginStartButton.Click()
